Station ID,Company Name,Location,Industry Domain,Preferred Branches,Stipend (UG),Stipend (PG),Have Accommodation?(Y or N)
4565,William O Neil - Data Analytics,Bangalore,Finance and Mgmt,Any,0,0,N
5469,Xarvis Intelligent Systems Lab Pvt Ltd - Non Tech,Pune,Finance and Mgmt,Any,0,0,N
5773,Central Leather Research Institute-Chemical (Unit process & operation),Chennai,Govt Research Lab,A1,0,0,N
5772,Central Leather Research Institute-Chemical(Energy Management),Chennai,Govt Research Lab,A1,0,0,N
5771,Central Leather Research Institute-Electronics,Chennai,Govt Research Lab,"A3 , A8 , AA",0,0,N
5774,Central Leather Research Institute-Mechanical,Chennai,Govt Research Lab,A4,0,0,N
5770,National Chemical Laboratory-Chemical (Bioinformatics),Pune,Govt Research Lab,A1,0,0,N
5769,National Chemical Laboratory-Chemical (Process modeling),Pune,Govt Research Lab,A1,0,0,N
5768,National Chemical Laboratory-Computer science,Pune,Govt Research Lab,A7,0,0,N
5547,Dinero AI- Marketing,Hyderabad ,IT,Any,0,0,N
3133,APS Lifetech,Pune,Health Care,B1,0,0,N
5789,Dr.Reddy-Chemical,Hyderabad ,Health Care,A1,0,0,N
5788,Dr.Reddy-Pharmaceutical,Hyderabad ,Health Care,A5,0,0,N
4259,"Incozen Therapeutics Pvt. Ltd., Hyderabad",Hyderabad,Health Care,Unavailable,Unavailable,Unavailable,N
3917,Praveen Laboratories Pvt. Ltd.,Surat ,Health Care,"A5 , B2",0,0,N
5724,Yashoda Hospitals- Medical Inclusion in pain department,Hyderabad ,Health Care,Any,0,0,N
5725,Yashoda Hospitals- Surgery rostering in anaesthesia department,Hyderabad ,Health Care,Any,0,0,N
5864,AECOM Infrastructure-Civil,Mumbai,Infrastructure,A2,0,0,N
4787,Aliens Developers Pvt. Ltd,Hyderabad ,Infrastructure,Any,0,0,N
3731,Concept Infracon Pvt. Limited,Gurgaon,Infrastructure,A2,0,0,N
5867,Development Consultants Pvt Ltd-Civil,Mumbai,Infrastructure,A2,0,0,N
5869,Development Consultants Pvt Ltd-Mechanical (CEMA Std),Mumbai,Infrastructure,A4,0,0,N
5868,Development Consultants Pvt Ltd-Mechanical (IS 11592),Mumbai,Infrastructure,A4,0,0,N
5866,Hindustan Colas-Civil,Mumbai,Infrastructure,A2,0,0,N
5990,Instrumentation Solution - Civil,Gurgaon,Infrastructure,A2,0,0,N
5865,Intercontinental Consultants & Technocrats Pvt. Ltd.(ICT)-Civil,Mumbai,Infrastructure,A2,0,0,N
5874,KEC International Ltd-Civil,Jaipur,Infrastructure,A2,0,0,N
5872,NCCBM-Chemical,Ballabgarh,Infrastructure,A1,0,0,N
5871,NCCBM-Civil,Ballabgarh,Infrastructure,A2,0,0,N
5870,NCCBM-EEE/E&I/E&C,Ballabgarh,Infrastructure,"A3 , A8 , AA",0,0,N
5873,NCCBM-Mechanical,Ballabgarh,Infrastructure,A4,0,0,N
5991,Roads and Buildings Department - Govt of Telangana,Hyderabad ,Infrastructure,A2,0,0,N
5988,Shell Group (HSSE) - Civil ,Bangalore,Infrastructure,A2,0,0,N
5760,Solar Energy Corporation of India-Civi,Delhi,Infrastructure,A2,0,0,N
52,Wadia Institute Of Himalayan Geology,Dehradun,Infrastructure,"A2 , A7",0,0,N
5886,Adani Power-Chemical (Biogas design),Tirora,Mechanical,A1,0,0,N
5885,Adani Power-Chemical (Lube oil quality),Tirora,Mechanical,A1,0,0,N
5884,Adani Power-Civil,Tirora,Mechanical,A2,0,0,N
5883,Adani Power-Computer science,Tirora,Mechanical,"A3 , A7 , A8 , AA",0,0,N
5882,Adani Power-Electronics,Tirora,Mechanical,"A3 , A8 , AA",0,0,N
5881,Adani Power-Mechanical,Tirora,Mechanical,A4,0,0,N
5879,Amritha Tool Crafts-Computer science,Hyderabad ,Mechanical,A7,0,0,N
5880,Amritha Tool Crafts-Mechanical,Hyderabad ,Mechanical,A4,0,0,N
5906,Army Base Workshop - App/AR/VR,Pitoragarh,Mechanical,"A3 , AA",0,0,N
5907,Army Base Workshop - Electrical Power Systems,Pitoragarh,Mechanical,"A3 , A8",0,0,N
5908,Army Base Workshop - Industrial Automation & Control,Pitoragarh,Mechanical,"A3 , A8 , AA",0,0,N
5909,Army Base Workshop - Machine Learning,Pitoragarh,Mechanical,"A3 , AA",0,0,N
5803,Blue star Limited-Mechanical (Air conditining and commercial refrigeration),Ogli,Mechanical,A4,0,0,N
5791,Carborundum universal Limited-Mechanical,Chennai,Mechanical,A4,0,0,N
4692,CCS STRATEGY SOLUTION - FLEXSIM,New delhi,Mechanical,"A4 , AB",0,0,N
5776,Divgi TorqTransfer Systems Pvt. Ltd- Manufacturing,"Bhosari, Pune ",Mechanical,AB,0,0,N
5777,Divgi TorqTransfer Systems Pvt. Ltd-Manufacturing,"Shivare,Pune",Mechanical,AB,0,0,N
5967,DomTech Robotics & Automation-Mechanical,Nashik,Mechanical,A4,0,0,N
5900,Engineers India Limited-Chemical,Gurugram ,Mechanical,A1,0,0,N
5901,Engineers India Limited-Mechanical,Gurugram ,Mechanical,A4,0,0,N
5899,Gates India Pvt Ltd-Chemical,Chandigarh,Mechanical,A1,0,0,N
5898,Gates India Pvt Ltd-Mechanical/Manufacturing,Chandigarh,Mechanical,"A4 , AB",0,0,N
4687,"Hertztech Solutions Pvt Ltd., - AI/ML",Chennai,Mechanical,Any,0,0,N
5801,Hertztech Solutions Pvt Ltd.-Manufacturing,Chennai,Mechanical,AB,0,0,N
5897,Hexanika-Mechanical,Pune,Mechanical,A4,0,0,N
5799,Indian Oil Corporation Limited-Chemical,New delhi,Mechanical,A1,0,0,N
5800,Indian Oil Corporation Limited-Mechanical,New delhi,Mechanical,A4,0,0,N
5779,JSW Energy-Chemical (Seperation of coal and stone),Vijayanagar ,Mechanical,"A1 , A3 , A4 , A7",0,0,N
5995,JSW Energy-EEE (Control room remote operation),Vijayanagar ,Mechanical,"A1 , A3 , A4 , A7",0,0,N
5994,JSW Energy-Mechanical (Coal fired boiler),Vijayanagar ,Mechanical,"A1 , A3 , A4 , A7",0,0,N
5778,JSW Energy-Mechanical (Turbines),Vijayanagar ,Mechanical,"A1 , A3 , A4 , A7",0,0,N
5878,Knowzies Technology Solutions-Mechanical,Pune,Mechanical,A4,0,0,N
5896,Madras Mindworks Pvt Ltd -Mechanical,Chennai,Mechanical,A4,0,0,N
5895,Maker&apos;s Asylum-Mechanical,Goa,Mechanical,A4,0,0,N
5659,Maker Asylum- Sales & Marketing,Mapusa ,Mechanical,Any,0,0,N
5660,Malhar Industries- CRM and HR Automation,Nagpur,Mechanical,Any,0,0,N
5775,MTAB Engineers Pvt Ltd- Manufacturing,Tiruvallur,Mechanical,AB,0,0,N
5790,Nippon Paint-Mechanical,Chennai,Mechanical,A4,0,0,N
5893,NTPC-Chemical,Dadri,Mechanical,A1,0,0,N
5894,NTPC-Mechanical,Dadri,Mechanical,A4,0,0,N
5890,Plastic water lab-Electronics,Bangalore,Mechanical,"A3 , A4 , A8 , AA",0,0,N
5891,Plastic water lab-Mechanical,Bangalore,Mechanical,A4,0,0,N
4743,Plastic Water Labs - Actuators and Sensors in IoT,Bangalore,Mechanical,"A3 , A4 , A8",0,0,N
5889,Preto Tooling Systems-Mechanical,Hyderabad ,Mechanical,A4,0,0,N
5887,Shalaka Connected Devices-Mechanical/Manufacturing,Pune,Mechanical,"A4 , AB",0,0,N
5792,Solar Energy Corporation of India-Mechanical,Delhi,Mechanical,A4,0,0,N
5793,Vasantha Tool Crafts Pvt Limited-Mechanical,Hyderabad ,Mechanical,A4,0,0,N
5796,Viram Technologies Enterprises - Mechanical (Automation design),Pune,Mechanical,A4,0,0,N
5794,Viram Technologies Enterprises - Mechanical (Finite Element Analysis),Pune,Mechanical,A4,0,0,N
